127.0.0.1 - - [17/Sep/2021:10:28:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:28:37 +0900] "GET /testKck/kck/mem/mem.html HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:28:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Sep/2021:10:52:24 +0900] "GET /testKck/kck/mem/mem.html HTTP/1.1" 200 11498
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:21:23 +0900] "GET /testKck/kck/mem/mem.html HTTP/1.1" 200 11583
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:21:23 +0900] "GET /testKck/img/ase.gif HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:21:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:22:12 +0900] "GET /testKck/kck/mem/mem.html HTTP/1.1" 200 11611
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:22:12 +0900] "GET /testKck/img/ase.gif HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:22:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:23:27 +0900] "GET /testKck/kck/mem/mem.html HTTP/1.1" 200 11613
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:23:27 +0900] "GET /testKck/img/ase.gif HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:23:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:23:56 +0900] "GET /testKck/kck/mem/mem.html HTTP/1.1" 200 11611
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:23:59 +0900] "GET /testKck/img/ase.gif HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:24:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:24:22 +0900] "GET /testKck/kck/mem/mem.html HTTP/1.1" 200 11605
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:24:22 +0900] "GET /testKck/img/ase.gif HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:24:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:25:05 +0900] "GET /testKck/kck/mem/mem.html HTTP/1.1" 200 11613
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:25:05 +0900] "GET /testKck/img/ase.gif HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:25:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:25:24 +0900] "GET /testKck/kck/mem/mem.html HTTP/1.1" 200 11613
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:25:27 +0900] "GET /testKck/img/ase.gif HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [17/Sep/2021:11:25:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
